name_requested	verdict	key_or_accepted	note
Monstera deliciosa	EXPOSED		already served by the shipped model
Monstera adansonii	EXPOSED		already served by the shipped model
Monstera obliqua	COLLECTED		in plants.csv, trained, exportable
Monstera dubia	TO_COLLECT	2868179	accepted species, GBIF key
Monstera standleyana	TO_COLLECT	2868231	accepted species, GBIF key
Monstera siltepecana	TO_COLLECT	2868229	accepted species, GBIF key
Monstera esqueleto	NOT_A_SPECIES	RANG GENUS (Monstera Adans.) conf=94	cultivar / grex / trade name, never a class
Monstera subpinnata	TO_COLLECT	2868129	accepted species, GBIF key
Monstera pinnatipartita	TO_COLLECT	2868226	accepted species, GBIF key
Monstera tuberculata	TO_COLLECT	2868210	accepted species, GBIF key
Philodendron hederaceum	EXPOSED		already served by the shipped model
Philodendron erubescens	EXPOSED		already served by the shipped model
Philodendron birkin	NOT_A_SPECIES	RANG GENUS (Philodendron Schott) conf=92	cultivar / grex / trade name, never a class
Philodendron gloriosum	COLLECTED		in plants.csv, trained, exportable
Philodendron verrucosum	TO_COLLECT	2871089	accepted species, GBIF key
Philodendron melanochrysum	TO_COLLECT	2871241	accepted species, GBIF key
Philodendron squamiferum	TO_COLLECT	2870698	accepted species, GBIF key
Philodendron pedatum	TO_COLLECT	2870914	accepted species, GBIF key
Philodendron xanadu	SYNONYM	SYNONYME-> [9669385]	resolve to the accepted name before collecting
Philodendron bipinnatifidum	EXPOSED		already served by the shipped model
Philodendron brandtianum	TO_COLLECT	2870671	accepted species, GBIF key
Philodendron atabapoense	TO_COLLECT	2871146	accepted species, GBIF key
Philodendron billietiae	TO_COLLECT	2870818	accepted species, GBIF key
Philodendron burle-marxii	TO_COLLECT	2871159	accepted species, GBIF key
Philodendron hastatum	TO_COLLECT	2871100	accepted species, GBIF key
Philodendron micans	SYNONYM	SYNONYME-> [7228286]	resolve to the accepted name before collecting
Philodendron patriot	TO_COLLECT	6310060	accepted species, GBIF key
Philodendron rugosum	TO_COLLECT	2870871	accepted species, GBIF key
Philodendron tortum	TO_COLLECT	2870881	accepted species, GBIF key
Philodendron tripartitum	TO_COLLECT	2870748	accepted species, GBIF key
Epipremnum aureum	EXPOSED		already served by the shipped model
Epipremnum pinnatum	EXPOSED		already served by the shipped model
Epipremnum amplissimum	TO_COLLECT	2868312	accepted species, GBIF key
Scindapsus pictus	EXPOSED		already served by the shipped model
Scindapsus treubii	TO_COLLECT	2873707	accepted species, GBIF key
Scindapsus officinalis	TO_COLLECT	2873716	accepted species, GBIF key
Anthurium crystallinum	COLLECTED		in plants.csv, trained, exportable
Anthurium clarinervium	COLLECTED		in plants.csv, trained, exportable
Anthurium andraeanum	EXPOSED		already served by the shipped model
Anthurium scherzerianum	COLLECTED		in plants.csv, trained, exportable
Anthurium veitchii	TO_COLLECT	2873417	accepted species, GBIF key
Anthurium warocqueanum	TO_COLLECT	2873559	accepted species, GBIF key
Anthurium hookeri	TO_COLLECT	2872293	accepted species, GBIF key
Anthurium vittarifolium	TO_COLLECT	2873406	accepted species, GBIF key
Anthurium forgetii	TO_COLLECT	2873656	accepted species, GBIF key
Anthurium radicans	TO_COLLECT	2872788	accepted species, GBIF key
Alocasia amazonica	COLLECTED		in plants.csv, trained, exportable
Alocasia zebrina	COLLECTED		in plants.csv, trained, exportable
Alocasia macrorrhizos	EXPOSED		already served by the shipped model
Alocasia micholitziana	COLLECTED		in plants.csv, trained, exportable
Alocasia reginula	COLLECTED		in plants.csv, trained, exportable
Alocasia baginda	TO_COLLECT	8316200	accepted species, GBIF key
Alocasia stingray	NOT_A_SPECIES	RANG GENUS (Alocasia (Schott) G.Don) conf=92	cultivar / grex / trade name, never a class
Alocasia wentii	TO_COLLECT	5329957	accepted species, GBIF key
Alocasia lauterbachiana	TO_COLLECT	5329877	accepted species, GBIF key
Alocasia cucullata	COLLECTED		in plants.csv, trained, exportable
Alocasia cuprea	TO_COLLECT	5329958	accepted species, GBIF key
Alocasia longiloba	COLLECTED		in plants.csv, trained, exportable
Alocasia sinuata	TO_COLLECT	5329859	accepted species, GBIF key
Syngonium podophyllum	EXPOSED		already served by the shipped model
Syngonium wendlandii	TO_COLLECT	2867865	accepted species, GBIF key
Syngonium erythrophyllum	TO_COLLECT	2867864	accepted species, GBIF key
Syngonium angustatum	COLLECTED		in plants.csv, trained, exportable
Spathiphyllum wallisii	EXPOSED		already served by the shipped model
Spathiphyllum cochlearispathum	TO_COLLECT	2869661	accepted species, GBIF key
Aglaonema commutatum	EXPOSED		already served by the shipped model
Aglaonema pictum	TO_COLLECT	2866460	accepted species, GBIF key
Aglaonema modestum	COLLECTED		in plants.csv, trained, exportable
Zamioculcas zamiifolia	EXPOSED		already served by the shipped model
Dieffenbachia seguine	EXPOSED		already served by the shipped model
Dieffenbachia maculata	SYNONYM	SYNONYME-> [2869345]	resolve to the accepted name before collecting
Caladium bicolor	EXPOSED		already served by the shipped model
Caladium humboldtii	TO_COLLECT	2868514	accepted species, GBIF key
Xanthosoma sagittifolium	COLLECTED		in plants.csv, trained, exportable
Amorphophallus konjac	COLLECTED		in plants.csv, trained, exportable
Goeppertia orbifolia	COLLECTED		in plants.csv, trained, exportable
Goeppertia makoyana	EXPOSED		already served by the shipped model
Goeppertia insignis	COLLECTED		in plants.csv, trained, exportable
Goeppertia roseopicta	COLLECTED		in plants.csv, trained, exportable
Goeppertia zebrina	COLLECTED		in plants.csv, trained, exportable
Goeppertia warscewiczii	TO_COLLECT	8184122	accepted species, GBIF key
Goeppertia ornata	TO_COLLECT	7977204	accepted species, GBIF key
Goeppertia rufibarba	COLLECTED		in plants.csv, trained, exportable
Goeppertia crocata	TO_COLLECT	7401775	accepted species, GBIF key
Goeppertia musaica	NOT_A_SPECIES	RANG PHYLUM (Tracheophyta) conf=92	cultivar / grex / trade name, never a class
Goeppertia veitchiana	TO_COLLECT	8146589	accepted species, GBIF key
Goeppertia lietzei	TO_COLLECT	9578489	accepted species, GBIF key
Maranta leuconeura	EXPOSED		already served by the shipped model
Maranta arundinacea	COLLECTED		in plants.csv, trained, exportable
Stromanthe sanguinea	EXPOSED		already served by the shipped model
Ctenanthe oppenheimiana	COLLECTED		in plants.csv, trained, exportable
Ctenanthe burle-marxii	EXPOSED		already served by the shipped model
Ctenanthe lubbersiana	TO_COLLECT	2762435	accepted species, GBIF key
Ctenanthe setosa	TO_COLLECT	2762422	accepted species, GBIF key
Dracaena trifasciata	EXPOSED		already served by the shipped model
Dracaena angolensis	TO_COLLECT	10961470	accepted species, GBIF key
Dracaena masoniana	TO_COLLECT	10956312	accepted species, GBIF key
Dracaena hanningtonii	TO_COLLECT	5303896	accepted species, GBIF key
Dracaena marginata	EXPOSED		already served by the shipped model
Dracaena fragrans	EXPOSED		already served by the shipped model
Dracaena reflexa	EXPOSED		already served by the shipped model
Dracaena surculosa	COLLECTED		in plants.csv, trained, exportable
Dracaena draco	EXPOSED		already served by the shipped model
Dracaena sanderiana	EXPOSED		already served by the shipped model
Chlorophytum comosum	EXPOSED		already served by the shipped model
Chlorophytum orchidastrum	TO_COLLECT	2774517	accepted species, GBIF key
Asparagus setaceus	EXPOSED		already served by the shipped model
Asparagus densiflorus	EXPOSED		already served by the shipped model
Beaucarnea recurvata	EXPOSED		already served by the shipped model
Aspidistra elatior	EXPOSED		already served by the shipped model
Cordyline fruticosa	EXPOSED		already served by the shipped model
Cordyline australis	EXPOSED		already served by the shipped model
Yucca elephantipes	SYNONYM	SYNONYME-> [2775716]	resolve to the accepted name before collecting
Yucca aloifolia	COLLECTED		in plants.csv, trained, exportable
Ledebouria socialis	COLLECTED		in plants.csv, trained, exportable
Albuca spiralis	TO_COLLECT	2772304	accepted species, GBIF key
Ficus elastica	EXPOSED		already served by the shipped model
Ficus lyrata	EXPOSED		already served by the shipped model
Ficus benjamina	EXPOSED		already served by the shipped model
Ficus microcarpa	EXPOSED		already served by the shipped model
Ficus umbellata	TO_COLLECT	5571957	accepted species, GBIF key
Ficus pumila	EXPOSED		already served by the shipped model
Ficus triangularis	SYNONYM	SYNONYME-> [5570837]	resolve to the accepted name before collecting
Ficus altissima	COLLECTED		in plants.csv, trained, exportable
Ficus religiosa	COLLECTED		in plants.csv, trained, exportable
Ficus deltoidea	COLLECTED		in plants.csv, trained, exportable
Dorstenia foetida	TO_COLLECT	7262610	accepted species, GBIF key
Peperomia obtusifolia	EXPOSED		already served by the shipped model
Peperomia argyreia	COLLECTED		in plants.csv, trained, exportable
Peperomia caperata	COLLECTED		in plants.csv, trained, exportable
Peperomia prostrata	TO_COLLECT	10776468	accepted species, GBIF key
Peperomia polybotrya	TO_COLLECT	4186205	accepted species, GBIF key
Peperomia tetraphylla	TO_COLLECT	3086448	accepted species, GBIF key
Peperomia clusiifolia	TO_COLLECT	4184364	accepted species, GBIF key
Peperomia graveolens	TO_COLLECT	4183917	accepted species, GBIF key
Peperomia nivalis	TO_COLLECT	7305985	accepted species, GBIF key
